use_scaled,alpha,gamma_min,clahe_thresh,clahe_clip_limit,denoise_strength,psnr,ssim
False,1.0,0.7,0.4,1.5,0.5,9.22373664412583,0.41942017078399657
False,1.0,0.7,0.4,1.5,1.0,9.235117589807214,0.45381355881690977
False,1.0,0.7,0.4,2.0,0.5,9.266777084908222,0.4002601981163025
False,1.0,0.7,0.4,2.0,1.0,9.280837395470886,0.4429310381412506
False,1.0,0.7,0.6,1.5,0.5,9.247243884974907,0.4217135846614838
False,1.0,0.7,0.6,1.5,1.0,9.258326337337127,0.4560339152812958
False,1.0,0.7,0.6,2.0,0.5,9.29981769726864,0.40309092998504636
False,1.0,0.7,0.6,2.0,1.0,9.313537551355024,0.44562284350395204
False,1.0,0.8,0.4,1.5,0.5,9.22373664412583,0.41942017078399657
False,1.0,0.8,0.4,1.5,1.0,9.235117589807214,0.45381355881690977
False,1.0,0.8,0.4,2.0,0.5,9.266777084908222,0.4002601981163025
False,1.0,0.8,0.4,2.0,1.0,9.280837395470886,0.4429310381412506
False,1.0,0.8,0.6,1.5,0.5,9.247243884974907,0.4217135846614838
False,1.0,0.8,0.6,1.5,1.0,9.258326337337127,0.4560339152812958
False,1.0,0.8,0.6,2.0,0.5,9.29981769726864,0.40309092998504636
False,1.0,0.8,0.6,2.0,1.0,9.313537551355024,0.44562284350395204
False,1.0,0.9,0.4,1.5,0.5,9.22373664412583,0.41942017078399657
False,1.0,0.9,0.4,1.5,1.0,9.235117589807214,0.45381355881690977
False,1.0,0.9,0.4,2.0,0.5,9.266777084908222,0.4002601981163025
False,1.0,0.9,0.4,2.0,1.0,9.280837395470886,0.4429310381412506
False,1.0,0.9,0.6,1.5,0.5,9.247243884974907,0.4217135846614838
False,1.0,0.9,0.6,1.5,1.0,9.258326337337127,0.4560339152812958
False,1.0,0.9,0.6,2.0,0.5,9.29981769726864,0.40309092998504636
False,1.0,0.9,0.6,2.0,1.0,9.313537551355024,0.44562284350395204
False,1.2,0.7,0.4,1.5,0.5,9.237340703832844,0.4192908763885498
False,1.2,0.7,0.4,1.5,1.0,9.248165027259013,0.45371708273887634
False,1.2,0.7,0.4,2.0,0.5,9.284639699174317,0.3997913718223572
False,1.2,0.7,0.4,2.0,1.0,9.298101969868748,0.4424923539161682
False,1.2,0.7,0.6,1.5,0.5,9.265287320320166,0.423730605840683
False,1.2,0.7,0.6,1.5,1.0,9.275654607770166,0.4576942503452301
False,1.2,0.7,0.6,2.0,0.5,9.323919041475353,0.4053721070289612
False,1.2,0.7,0.6,2.0,1.0,9.336833037707837,0.4473989009857178
False,1.2,0.8,0.4,1.5,0.5,9.237340703832844,0.4192908763885498
False,1.2,0.8,0.4,1.5,1.0,9.248165027259013,0.45371708273887634
False,1.2,0.8,0.4,2.0,0.5,9.284639699174317,0.3997913718223572
False,1.2,0.8,0.4,2.0,1.0,9.298101969868748,0.4424923539161682
False,1.2,0.8,0.6,1.5,0.5,9.265287320320166,0.423730605840683
False,1.2,0.8,0.6,1.5,1.0,9.275654607770166,0.4576942503452301
False,1.2,0.8,0.6,2.0,0.5,9.323919041475353,0.4053721070289612
False,1.2,0.8,0.6,2.0,1.0,9.336833037707837,0.4473989009857178
False,1.2,0.9,0.4,1.5,0.5,9.237340703832844,0.4192908763885498
False,1.2,0.9,0.4,1.5,1.0,9.248165027259013,0.45371708273887634
False,1.2,0.9,0.4,2.0,0.5,9.284639699174317,0.3997913718223572
False,1.2,0.9,0.4,2.0,1.0,9.298101969868748,0.4424923539161682
False,1.2,0.9,0.6,1.5,0.5,9.265287320320166,0.423730605840683
False,1.2,0.9,0.6,1.5,1.0,9.275654607770166,0.4576942503452301
False,1.2,0.9,0.6,2.0,0.5,9.323919041475353,0.4053721070289612
False,1.2,0.9,0.6,2.0,1.0,9.336833037707837,0.4473989009857178
False,1.5,0.7,0.4,1.5,0.5,9.251630463588842,0.4196391999721527
False,1.5,0.7,0.4,1.5,1.0,9.26168025759043,0.4536598801612854
False,1.5,0.7,0.4,2.0,0.5,9.305926940402205,0.4000098407268524
False,1.5,0.7,0.4,2.0,1.0,9.318542151492583,0.44209516048431396
False,1.5,0.7,0.6,1.5,0.5,9.288949414583161,0.42905300855636597
False,1.5,0.7,0.6,1.5,1.0,9.298356461691139,0.4617956817150116
False,1.5,0.7,0.6,2.0,0.5,9.358207236830065,0.41192750334739686
False,1.5,0.7,0.6,2.0,1.0,9.370014846966418,0.4522617280483246
False,1.5,0.8,0.4,1.5,0.5,9.251630463588842,0.4196391999721527
False,1.5,0.8,0.4,1.5,1.0,9.26168025759043,0.4536598801612854
False,1.5,0.8,0.4,2.0,0.5,9.305926940402205,0.4000098407268524
False,1.5,0.8,0.4,2.0,1.0,9.318542151492583,0.44209516048431396
False,1.5,0.8,0.6,1.5,0.5,9.288949414583161,0.42905300855636597
False,1.5,0.8,0.6,1.5,1.0,9.298356461691139,0.4617956817150116
False,1.5,0.8,0.6,2.0,0.5,9.358207236830065,0.41192750334739686
False,1.5,0.8,0.6,2.0,1.0,9.370014846966418,0.4522617280483246
False,1.5,0.9,0.4,1.5,0.5,9.251630463588842,0.4196391999721527
False,1.5,0.9,0.4,1.5,1.0,9.26168025759043,0.4536598801612854
False,1.5,0.9,0.4,2.0,0.5,9.305926940402205,0.4000098407268524
False,1.5,0.9,0.4,2.0,1.0,9.318542151492583,0.44209516048431396
False,1.5,0.9,0.6,1.5,0.5,9.288949414583161,0.42905300855636597
False,1.5,0.9,0.6,1.5,1.0,9.298356461691139,0.4617956817150116
False,1.5,0.9,0.6,2.0,0.5,9.358207236830065,0.41192750334739686
False,1.5,0.9,0.6,2.0,1.0,9.370014846966418,0.4522617280483246
True,1.0,0.7,0.4,1.5,0.5,9.16523409696408,0.4207813560962677
True,1.0,0.7,0.4,1.5,1.0,9.17814303203129,0.4534893691539764
True,1.0,0.7,0.4,2.0,0.5,9.191156465547703,0.40323144793510435
True,1.0,0.7,0.4,2.0,1.0,9.206735111081553,0.4438078343868256
True,1.0,0.7,0.6,1.5,0.5,9.179123296940777,0.4211167752742767
True,1.0,0.7,0.6,1.5,1.0,9.1920750344172,0.4538884699344635
True,1.0,0.7,0.6,2.0,0.5,9.20861516875219,0.40358983874320986
True,1.0,0.7,0.6,2.0,1.0,9.224267188014343,0.44424731731414796
True,1.0,0.8,0.4,1.5,0.5,9.16523409696408,0.4207813560962677
True,1.0,0.8,0.4,1.5,1.0,9.17814303203129,0.4534893691539764
True,1.0,0.8,0.4,2.0,0.5,9.191156465547703,0.40323144793510435
True,1.0,0.8,0.4,2.0,1.0,9.206735111081553,0.4438078343868256
True,1.0,0.8,0.6,1.5,0.5,9.179123296940777,0.4211167752742767
True,1.0,0.8,0.6,1.5,1.0,9.1920750344172,0.4538884699344635
True,1.0,0.8,0.6,2.0,0.5,9.20861516875219,0.40358983874320986
True,1.0,0.8,0.6,2.0,1.0,9.224267188014343,0.44424731731414796
True,1.0,0.9,0.4,1.5,0.5,9.16523409696408,0.4207813560962677
True,1.0,0.9,0.4,1.5,1.0,9.17814303203129,0.4534893691539764
True,1.0,0.9,0.4,2.0,0.5,9.191156465547703,0.40323144793510435
True,1.0,0.9,0.4,2.0,1.0,9.206735111081553,0.4438078343868256
True,1.0,0.9,0.6,1.5,0.5,9.179123296940777,0.4211167752742767
True,1.0,0.9,0.6,1.5,1.0,9.1920750344172,0.4538884699344635
True,1.0,0.9,0.6,2.0,0.5,9.20861516875219,0.40358983874320986
True,1.0,0.9,0.6,2.0,1.0,9.224267188014343,0.44424731731414796
True,1.2,0.7,0.4,1.5,0.5,9.17573964549053,0.42091227769851686
True,1.2,0.7,0.4,1.5,1.0,9.188305606701771,0.45367499589920046
True,1.2,0.7,0.4,2.0,0.5,9.20418133690009,0.40331732034683226
True,1.2,0.7,0.4,2.0,1.0,9.219421161731905,0.4439854800701141
True,1.2,0.7,0.6,1.5,0.5,9.188256756689157,0.4213060915470123
True,1.2,0.7,0.6,1.5,1.0,9.200830732033312,0.4541371762752533
True,1.2,0.7,0.6,2.0,0.5,9.220470775280365,0.4037670850753784
True,1.2,0.7,0.6,2.0,1.0,9.23574251452648,0.4445155382156372
True,1.2,0.8,0.4,1.5,0.5,9.17573964549053,0.42091227769851686
True,1.2,0.8,0.4,1.5,1.0,9.188305606701771,0.45367499589920046
True,1.2,0.8,0.4,2.0,0.5,9.20418133690009,0.40331732034683226
True,1.2,0.8,0.4,2.0,1.0,9.219421161731905,0.4439854800701141
True,1.2,0.8,0.6,1.5,0.5,9.188256756689157,0.4213060915470123
True,1.2,0.8,0.6,1.5,1.0,9.200830732033312,0.4541371762752533
True,1.2,0.8,0.6,2.0,0.5,9.220470775280365,0.4037670850753784
True,1.2,0.8,0.6,2.0,1.0,9.23574251452648,0.4445155382156372
True,1.2,0.9,0.4,1.5,0.5,9.17573964549053,0.42091227769851686
True,1.2,0.9,0.4,1.5,1.0,9.188305606701771,0.45367499589920046
True,1.2,0.9,0.4,2.0,0.5,9.20418133690009,0.40331732034683226
True,1.2,0.9,0.4,2.0,1.0,9.219421161731905,0.4439854800701141
True,1.2,0.9,0.6,1.5,0.5,9.188256756689157,0.4213060915470123
True,1.2,0.9,0.6,1.5,1.0,9.200830732033312,0.4541371762752533
True,1.2,0.9,0.6,2.0,0.5,9.220470775280365,0.4037670850753784
True,1.2,0.9,0.6,2.0,1.0,9.23574251452648,0.4445155382156372
True,1.5,0.7,0.4,1.5,0.5,9.190443678480339,0.42076096534729
True,1.5,0.7,0.4,1.5,1.0,9.202575161936636,0.45395621061325075
True,1.5,0.7,0.4,2.0,0.5,9.220990163942915,0.40292043089866636
True,1.5,0.7,0.4,2.0,1.0,9.235818323377398,0.4441151797771454
True,1.5,0.7,0.6,1.5,0.5,9.20239282912805,0.42130209803581237
True,1.5,0.7,0.6,1.5,1.0,9.214495504319633,0.45456862449645996
True,1.5,0.7,0.6,2.0,0.5,9.237138629490895,0.4035669207572937
True,1.5,0.7,0.6,2.0,1.0,9.251956019206265,0.4448389232158661
True,1.5,0.8,0.4,1.5,0.5,9.190443678480339,0.42076096534729
True,1.5,0.8,0.4,1.5,1.0,9.202575161936636,0.45395621061325075
True,1.5,0.8,0.4,2.0,0.5,9.220990163942915,0.40292043089866636
True,1.5,0.8,0.4,2.0,1.0,9.235818323377398,0.4441151797771454
True,1.5,0.8,0.6,1.5,0.5,9.20239282912805,0.42130209803581237
True,1.5,0.8,0.6,1.5,1.0,9.214495504319633,0.45456862449645996
True,1.5,0.8,0.6,2.0,0.5,9.237138629490895,0.4035669207572937
True,1.5,0.8,0.6,2.0,1.0,9.251956019206265,0.4448389232158661
True,1.5,0.9,0.4,1.5,0.5,9.190443678480339,0.42076096534729
True,1.5,0.9,0.4,1.5,1.0,9.202575161936636,0.45395621061325075
True,1.5,0.9,0.4,2.0,0.5,9.220990163942915,0.40292043089866636
True,1.5,0.9,0.4,2.0,1.0,9.235818323377398,0.4441151797771454
True,1.5,0.9,0.6,1.5,0.5,9.20239282912805,0.42130209803581237
True,1.5,0.9,0.6,1.5,1.0,9.214495504319633,0.45456862449645996
True,1.5,0.9,0.6,2.0,0.5,9.237138629490895,0.4035669207572937
True,1.5,0.9,0.6,2.0,1.0,9.251956019206265,0.4448389232158661
